% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:41
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0
1.7000000000000002        -1.9                     3819919.1018920243
1.8000000000000003        -1.9                     4201894.181858619
1.9000000000000001        -1.9                     4748271.54707746
2                         -1.9                     5490911.222513018
0                         -1.8                     2413484.067856378
0.1                       -1.8                     2417582.1238084487
0.2                       -1.8                     2424413.2575596515
0.30000000000000004       -1.8                     2435147.207175929
0.4                       -1.8                     2451397.316497309
0.5                       -1.8                     2471412.1817791583
0.6000000000000001        -1.8                     2497450.1698475326
0.7000000000000001        -1.8                     2528185.7856184896
0.8                       -1.8                     2564507.3265116294
0.9000000000000001        -1.8                     2609470.2770755277
1                         -1.8                     2662801.1390460865
1.1                       -1.8                     2721145.2400544067
1.2000000000000002        -1.8                     2796324.7357925205
1.3000000000000003        -1.8                     2882744.7930953517
1.4000000000000001        -1.8                     2991261.163485922
1.5                       -1.8                     3133724.624696431
1.6                       -1.8                     3325919.434077421
1.7000000000000002        -1.8                     3577061.957847909
1.8000000000000003        -1.8                     4002115.5260473886
1.9000000000000001        -1.8                     4613198.823152393
2                         -1.8                     5598911.188886187
0                         -1.7                     2316410.2974754586
0.1                       -1.7                     2319624.0386907132
0.2                       -1.7                     2325129.5099337986
0.30000000000000004       -1.7                     2336013.930609271
0.4                       -1.7                     2351506.9304308305
0.5                       -1.7                     2369853.630885847
0.6000000000000001        -1.7                     2394704.8366270578
0.7000000000000001        -1.7                     2423491.13512849
0.8                       -1.7                     2456449.572802339
0.9000000000000001        -1.7                     2495718.596092066
1                         -1.7                     2540110.981467321
1.1                       -1.7                     2596649.9509347854
1.2000000000000002        -1.7                     2652983.7031190842
1.3000000000000003        -1.7                     2725650.6534983236
1.4000000000000001        -1.7                     2810168.6912291707
1.5                       -1.7                     2923286.04370263
1.6                       -1.7                     3055794.011522774
1.7000000000000002        -1.7                     3278584.8194427537
1.8000000000000003        -1.7                     3619456.9191015507
1.9000000000000001        -1.7                     4224986.073138753
2                         -1.7                     5299260.262306686
0                         -1.5999999999999999      2210743.8085262207
0.1                       -1.5999999999999999      2214279.9561573067
0.2                       -1.5999999999999999      2220532.5800219732
0.30000000000000004       -1.5999999999999999      2230435.1272961586
0.4                       -1.5999999999999999      2245059.489514473
0.5                       -1.5999999999999999      2262909.845330404
0.6000000000000001        -1.5999999999999999      2285693.816800059
0.7000000000000001        -1.5999999999999999      2311944.5084207836
0.8                       -1.5999999999999999      2341699.822165755
0.9000000000000001        -1.5999999999999999      2376990.3871673103
1                         -1.5999999999999999      2412857.680600289
1.1                       -1.5999999999999999      2456959.4545155005
1.2000000000000002        -1.5999999999999999      2497083.5806558463
1.3000000000000003        -1.5999999999999999      2551619.814502362
1.4000000000000001        -1.5999999999999999      2618948.554553435
1.5                       -1.5999999999999999      2674735.123103006
1.6                       -1.5999999999999999      2769216.007971685
1.7000000000000002        -1.5999999999999999      2896280.6216760646
1.8000000000000003        -1.5999999999999999      3114726.257981727
1.9000000000000001        -1.5999999999999999      3528793.4609767483
2                         -1.5999999999999999      4540421.01324647
0                         -1.5                     2101550.451136192
0.1                       -1.5                     2104378.494483117
0.2                       -1.5                     2109644.4524135073
0.30000000000000004       -1.5                     2119610.03598354
0.4                       -1.5                     2133612.915656861
0.5                       -1.5                     2150529.7873026524
0.6000000000000001        -1.5                     2171763.2284704917
