% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:42
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0.1309
1                         -1.3499999999999999      1804846.6308788413
1.1                       -1.3499999999999999      1834894.3966081515
1.2000000000000002        -1.3499999999999999      1868326.9323358599
1.3000000000000003        -1.3499999999999999      1888091.409202313
1.4000000000000001        -1.3499999999999999      1911637.7602506774
1.5                       -1.3499999999999999      1907054.0646309152
1.6                       -1.3499999999999999      1892206.7894862513
1.7000000000000002        -1.3499999999999999      1848932.475101716
1.8000000000000003        -1.3499999999999999      1775470.3854784558
1.9000000000000001        -1.3499999999999999      1655582.3759412149
2                         -1.3499999999999999      1485290.7354705827
0                         -1.25                    1482198.6861743764
0.1                       -1.25                    1484751.9727213434
0.2                       -1.25                    1491376.551127811
0.30000000000000004       -1.25                    1502296.882074754
0.4                       -1.25                    1518162.0975996582
0.5                       -1.25                    1536580.0766347335
0.6000000000000001        -1.25                    1559029.8724317583
0.7000000000000001        -1.25                    1585371.43419867
0.8                       -1.25                    1612461.2145130266
0.9000000000000001        -1.25                    1640145.9164634587
1                         -1.25                    1669811.909587339
1.1                       -1.25                    1696319.4249048403
1.2000000000000002        -1.25                    1718430.1873810089
1.3000000000000003        -1.25                    1730695.0095963422
1.4000000000000001        -1.25                    1729022.0105935303
1.5                       -1.25                    1713217.2911771794
1.6                       -1.25                    1675776.3678212762
1.7000000000000002        -1.25                    1561708.934271071
1.8000000000000003        -1.25                    1415446.3139886495
1.9000000000000001        -1.25                    1181887.3968757377
2                         -1.25                    855217.9806363287
0                         -1.15                    1345603.025077305
0.1                       -1.15                    1348166.0837221304
0.2                       -1.15                    1355496.0453363697
0.30000000000000004       -1.15                    1367149.3034793378
0.4                       -1.15                    1383334.475405027
0.5                       -1.15                    1403504.2052604677
0.6000000000000001        -1.15                    1427307.1703363392
0.7000000000000001        -1.15                    1454003.0578059922
0.8                       -1.15                    1482885.891330216
0.9000000000000001        -1.15                    1511692.9674254556
1                         -1.15                    1541875.4549778742
1.1                       -1.15                    1566422.1630271492
1.2000000000000002        -1.15                    1592197.2484410687
1.3000000000000003        -1.15                    1596575.5356543714
1.4000000000000001        -1.15                    1593597.9452260393
1.5                       -1.15                    1561053.0276078775
1.6                       -1.15                    1495676.5689746935
1.7000000000000002        -1.15                    1383998.2042105063
1.8000000000000003        -1.15                    1206395.1206956827
1.9000000000000001        -1.15                    946473.8867689188
2                         -1.15                    610050.0433605483
0                         -1.05                    1206416.910804322
0.1                       -1.05                    1209265.427716964
0.2                       -1.05                    1217139.9459872623
0.30000000000000004       -1.05                    1229939.6463456054
0.4                       -1.05                    1247930.2907695894
0.5                       -1.05                    1269842.9654577156
0.6000000000000001        -1.05                    1295931.448337921
0.7000000000000001        -1.05                    1324981.4324048231
0.8                       -1.05                    1356610.2689063002
0.9000000000000001        -1.05                    1389144.7961982773
1                         -1.05                    1419673.1586206506
1.1                       -1.05                    1447537.412085467
1.2000000000000002        -1.05                    1472986.306078911
1.3000000000000003        -1.05                    1487898.6383355048
1.4000000000000001        -1.05                    1481074.1520269644
1.5                       -1.05                    1452823.882250786
1.6                       -1.05                    1393002.3877955438
1.7000000000000002        -1.05                    1288898.7894597794
1.8000000000000003        -1.05                    1120137.1311897312
1.9000000000000001        -1.05                    896630.8567724125
2                         -1.05                    627138.7424371021
0                         -0.9499999999999997      1064832.243290766
0.1                       -0.9499999999999997      1068006.7846171362
0.2                       -0.9499999999999997      1076958.8723238264
0.30000000000000004       -0.9499999999999997      1091453.8232108566
0.4                       -0.9499999999999997      1111635.972711778
0.5                       -0.9499999999999997      1136386.2663439417
0.6000000000000001        -0.9499999999999997      1165563.7782297847
0.7000000000000001        -0.9499999999999997      1199036.2200042056
0.8                       -0.9499999999999997      1234570.9979965207
0.9000000000000001        -0.9499999999999997      1269799.5509436082
1                         -0.9499999999999997      1309357.0285035816
1.1                       -0.9499999999999997      1344121.9611342952
1.2000000000000002        -0.9499999999999997      1368450.4684783171
1.3000000000000003        -0.9499999999999997      1392363.9206038548
1.4000000000000001        -0.9499999999999997      1388531.7843009795
1.5                       -0.9499999999999997      1384900.5032137244
1.6                       -0.9499999999999997      1336052.8696766507
1.7000000000000002        -0.9499999999999997      1263442.297287359
1.8000000000000003        -0.9499999999999997      1148766.6300314323
1.9000000000000001        -0.9499999999999997      990334.8374513732
2                         -0.9499999999999997      819488.8653168968
0                         -0.8499999999999996      920874.3203032978
0.1                       -0.8499999999999996      924515.0807221712
0.2                       -0.8499999999999996      934837.3161868274
0.30000000000000004       -0.8499999999999996      951568.6585927053
0.4                       -0.8499999999999996      974715.3091213796
0.5                       -0.8499999999999996      1003395.822831163
0.6000000000000001        -0.8499999999999996      1037464.4698982823
0.7000000000000001        -0.8499999999999996      1074961.098234818
0.8                       -0.8499999999999996      1117018.203655063
0.9000000000000001        -0.8499999999999996      1161114.163376505
1                         -0.8499999999999996      1203649.5677322384
1.1                       -0.8499999999999996      1246733.1777738759
1.2000000000000002        -0.8499999999999996      1288709.7597172635
1.3000000000000003        -0.8499999999999996      1316799.0124345
1.4000000000000001        -0.8499999999999996      1341166.6641988128
1.5                       -0.8499999999999996      1340583.2522826728
1.6                       -0.8499999999999996      1335497.433817094
1.7000000000000002        -0.8499999999999996      1290780.5960236136
1.8000000000000003        -0.8499999999999996      1234632.764862256
1.9000000000000001        -0.8499999999999996      1155114.80765809
2                         -0.8499999999999996      1088634.4408741216
0                         -0.75                    774521.8149409933
0.1                       -0.75                    778846.7511669544
0.2                       -0.75                    791141.7021535389
0.30000000000000004       -0.75                    811058.719252206
0.4                       -0.75                    838445.7180813568
0.5                       -0.75                    872115.9275096728
0.6000000000000001        -0.75                    911541.5220725908
0.7000000000000001        -0.75                    956368.2844738468
